loss,binary_accuracy,val_loss,val_binary_accuracy
0.5626931758224964,0.6880099773406982,0.4966483952105045,0.7301499843597412
0.4260451522320509,0.7939299941062927,0.4130583108216524,0.8105000257492065
0.34964777471125125,0.8400400280952454,0.3340775890648365,0.8388500213623047
0.3001714163720608,0.8661400079727173,0.29403722889721395,0.8737999796867371
0.25899206268042324,0.8874899744987488,0.2586319298669696,0.8794000148773193
0.22800314088910817,0.9036499857902527,0.2263043858855963,0.9036499857902527
0.20771619550138712,0.9135900139808655,0.20400995559990406,0.9167500138282776
0.18593985418975353,0.9232800006866455,0.20645673528313638,0.923799991607666
0.17228815470635891,0.9285299777984619,0.17670479502528905,0.928849995136261
0.15872773300856352,0.9352999925613403,0.178454118296504,0.9232500195503235
0.1462476475276053,0.9409700036048889,0.17058169636875392,0.935949981212616
0.135906625200063,0.9452199935913086,0.1803774154931307,0.9179499745368958
0.1284491556081921,0.9488199949264526,0.16957899076864125,0.9375
0.12076804171875119,0.95169997215271,0.17463609470054509,0.9375500082969666
0.11414477225765586,0.9544299840927124,0.15251182997599244,0.940850019454956
0.1062884912211448,0.9579899907112122,0.14319275768473744,0.9434999823570251
0.10317975436989218,0.9591299891471863,0.13856281496584416,0.9458500146865845
0.09628750825114549,0.962149977684021,0.13561244925484062,0.9506999850273132
0.09002438301406801,0.9649400115013123,0.13556240733712913,0.9448000192642212
0.09015239672735334,0.9648200273513794,0.13588262742385268,0.9514999985694885
0.0831708754338324,0.9674599766731262,0.14079494023695588,0.9427499771118164
0.0813806891348213,0.9687600135803223,0.13679828172549605,0.9528999924659729
0.0787137285657227,0.9698899984359741,0.1394640222284943,0.9518499970436096
0.07186982293240726,0.9723600149154663,0.13938951111864298,0.9462500214576721
0.07270042353309691,0.9723899960517883,0.11909030293114484,0.9527000188827515
0.06974298000941052,0.9731799960136414,0.11332757879979909,0.9583500027656555
